"Time Step","Hardwood Merchantable","Hardwood Other","Hardwood Foliage","Hardwood Fine Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0.864288985729218,2.43117904663086,20.5875205993652,13.8139200210571,26.4862403869629,56.0942192077637,219.341995239258,0,0,100.650802612305,35.8112983703613,
1,0.0571363233,0.2628926337,0.3302377462,0.3599615097,0.5662516356,0.838704347610474,1.59601485729218,21.6863803863525,12.394211769104,28.9099197387695,56.3236312866211,219.350463867188,0,0,96.1229476928711,30.572244644165,
2,0.24553819,1.0698421,0.6221325994,0.6463541389,1.166300535,1.12907445430756,1.12687599658966,22.2217655181885,11.125904083252,31.1275615692139,56.5347633361816,219.291046142578,0,0,91.7995147705078,26.1049003601074,
3,0.575374186,2.188358068,0.8913062811,0.8795403242,1.798630118,1.62672984600067,0.879427909851074,22.3327255249023,9.99370574951172,33.1510581970215,56.7361183166504,219.187561035156,0,0,87.672119140625,22.3003978729248,
4,1.051276684,3.520823002,1.141866684,1.070047975,2.455091953,2.25832295417786,0.764288485050201,22.1297416687012,8.98385620117188,34.9917221069336,56.9335556030273,219.055053710938,0,0,83.7327880859375,19.0642356872559,
5,1.675273418,5.003390789,1.376192689,1.225871325,3.128096819,2.97153544425964,0.72604364156723,21.7011985778809,8.08394145965576,36.6603202819824,57.1310920715332,218.903045654297,0,0,79.9739303588867,16.3149757385254,
6,2.447545528,6.588376522,1.595967293,1.353430748,3.811031342,3.72898936271667,0.730639755725861,21.1175136566162,7.2827615737915,38.1670875549316,57.3314933776855,218.737609863281,0,0,76.3883056640625,13.9825649261475,
7,3.366761684,8.237843513,1.802502632,1.457970381,4.498250008,4.50418615341187,0.757438123226166,20.4343643188477,6.57021474838257,39.5217628479004,57.5366401672363,218.562652587891,0,0,72.968994140625,12.0067977905273,
8,4.430267334,9.920612335,1.996881008,1.54379499,5.184988022,5.27859830856323,0.794185161590576,19.6953163146973,5.93719244003296,40.7336044311523,57.7478218078613,218.380706787109,0,0,69.7093811035156,10.3359508514404,
9,5.634215832,11.61063385,2.180026054,1.61444068,5.867254257,6.03954172134399,0.833828866481781,18.9340000152588,5.37548494338989,41.8114204406738,57.9659156799316,218.19352722168,0,0,66.6031265258789,8.92559623718262,
10,6.97367382,13.286026,2.352745056,1.67280817,6.541735172,6.77859401702881,0.872508645057678,18.1759204864502,4.87769460678101,42.7635841369629,58.1915092468262,218.002304077148,0,0,63.6441383361816,7.73757982254028,
11,8.442713737,14.92843151,2.515754938,1.72127068,7.205696106,7.49043035507202,0.90829062461853,17.4399681091309,4.43715858459473,43.5980491638184,58.4249954223633,217.80793762207,0,0,60.8265800476074,6.73914241790771,
12,10.03450489,16.52257156,2.669699669,1.761764765,7.85690403,8.17194843292236,0.940377712249756,16.739673614502,4.04787826538086,44.3223762512207,58.6666221618652,217.61116027832,0,0,58.1448364257813,5.90215730667114,
13,11.74140549,18.0559063,2.815163851,1.795864344,8.493551254,8.82162761688232,0.968619346618652,16.0842552185059,3.70445370674133,44.9437561035156,58.9165344238281,217.412536621094,0,0,55.5934982299805,5.20248126983643,
14,13.55505466,19.51836586,2.952680111,1.824845314,9.114196777,9.43905544281006,0.993211925029755,15.4795036315918,3.40202641487122,45.4690093994141,59.1747970581055,217.212585449219,0,0,53.1673622131348,4.61939764022827,
15,15.46646881,20.90210533,3.082738161,1.849736571,9.717709541,10.0245723724365,1.01451826095581,14.9284992218018,3.13622689247131,45.9046173095703,59.4414100646973,217.011734008789,0,0,50.8613929748535,4.13513517379761,
16,17.46613503,22.20131493,3.205789089,1.871364951,10.30322266,10.5790243148804,1.03296172618866,14.4322175979614,2.90312647819519,46.256721496582,59.7163124084473,216.810424804688,0,0,48.6707420349121,3.73445963859558,
17,19.54412079,23.41201019,3.322249651,1.890392423,10.8700943,11.1035747528076,1.04896664619446,13.9900302886963,2.69919443130493,46.5311622619629,59.9993896484375,216.609039306641,0,0,46.5907096862793,3.40431880950928,
18,22.34994507,23.56346512,3.251562834,1.90498805,11.33928013,11.5324602127075,1.06268525123596,13.5867300033569,2.52090549468994,46.7334594726563,60.2866859436035,216.407897949219,0,0,44.618709564209,3.12894773483276,
19,24.57266808,24.16529465,3.338750839,1.918575048,11.80273151,11.8754873275757,1.07437860965729,13.2145700454712,2.36515593528748,46.8689193725586,60.5745811462402,216.207244873047,0,0,42.7503051757813,2.89744472503662,
20,26.81534576,24.75044632,3.426253796,1.931259751,12.2574892,12.2099437713623,1.08457684516907,12.8800497055054,2.22956013679504,46.9425621032715,60.8636436462402,216.007308959961,0,0,40.9791717529297,2.70544695854187,
21,29.06912041,25.31887054,3.513635874,1.94318676,12.70266056,12.5376024246216,1.09364569187164,12.5823068618774,2.11196136474609,46.9590721130371,61.1544494628906,215.808364868164,0,0,39.301025390625,2.54701542854309,
22,31.32282448,25.86981773,3.600425243,1.954463959,13.13694954,12.8595371246338,1.10184574127197,12.3200130462646,2.01041507720947,46.9228782653809,61.447582244873,215.610641479492,0,0,37.7117156982422,2.41707611083984,
23,33.57231903,26.40410423,3.686449289,1.965211272,13.5604353,13.1763734817505,1.10936748981476,12.0915184020996,1.923171043396,46.8381652832031,61.7435722351074,215.414367675781,0,0,36.2072372436523,2.31129789352417,
