"Time Step","Softwood Merchantable","Softwood Other","Softwood Foliage","Softwood Fine Roots","Softwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
27,7.301287651,9.114814758,2.499649286,1.198867321,3.00042963,2.33600258827209,0.637833654880524,3.62144780158997,0.511269092559814,17.935791015625,16.7485656738281,75.3110809326172,11.6614608764648,0.652444839477539,0,0,
28,7.848473549,9.354548454,2.554920197,1.231396437,3.154866934,2.41352367401123,0.658758461475372,3.58324408531189,0.486237853765488,17.817663192749,16.799768447876,75.2358627319336,11.1816806793213,0.644564926624298,0,0,
29,8.406617165,9.574989319,2.608124733,1.262253881,3.308666706,2.48801136016846,0.678690493106842,3.55584120750427,0.46516627073288,17.6877632141113,16.8518657684326,75.1626892089844,10.7267560958862,0.640020489692688,0,0,
30,9.275975227,9.382566452,2.581953526,1.285546303,3.429843903,2.5542414188385,0.697036743164063,3.53246235847473,0.447497487068176,17.5471820831299,16.904504776001,75.0914611816406,10.2965230941772,0.636273920536041,0,0,
31,9.80606842,9.356178284,2.608377934,1.303986073,3.529092789,2.61094355583191,0.713090002536774,3.50919890403748,0.43263652920723,17.3969764709473,16.9571876525879,75.0220184326172,9.88978672027588,0.632037818431854,0,0,
32,10.33645821,9.34936142,2.637731075,1.322720289,3.633107901,2.66290807723999,0.727204382419586,3.48841547966003,0.420217275619507,17.2381343841553,17.009729385376,74.9542236328125,9.50448799133301,0.628264129161835,0,0,
33,10.86990643,9.359340668,2.669629097,1.341687083,3.741863251,2.71157431602478,0.740129709243774,3.47043013572693,0.410031020641327,17.0715560913086,17.0620307922363,74.8879928588867,9.13967037200928,0.625057697296143,0,0,
34,11.40648079,9.38397789,2.703662157,1.360759854,3.854935169,2.75799155235291,0.752327263355255,3.45546960830688,0.401888430118561,16.8980865478516,17.1140518188477,74.8232955932617,8.79443264007568,0.622484564781189,0,0,
35,11.94098759,9.421071053,2.739141226,1.379650593,3.970816135,2.80285954475403,0.764050304889679,3.44367623329163,0.395611107349396,16.7185211181641,17.1657981872559,74.7601089477539,8.46789646148682,0.620580732822418,0,0,
36,12.47353745,9.468823433,2.77575779,1.398283005,4.089139462,2.84661889076233,0.775423884391785,3.43511819839478,0.391030520200729,16.5336055755615,17.2173023223877,74.6984329223633,8.15920829772949,0.619357883930206,0,0,
37,13.00683784,9.526058197,2.813455582,1.4166888,4.210201263,2.88958549499512,0.786523461341858,3.42981815338135,0.38799524307251,16.3440399169922,17.2686100006104,74.6382598876953,7.86756229400635,0.618811905384064,0,0,
38,13.53575706,9.590966225,2.851664782,1.434644222,4.332558155,2.9319441318512,0.797377705574036,3.42774987220764,0.386364251375198,16.1504783630371,17.3197822570801,74.5795974731445,7.59218072891235,0.618925094604492,0,0,
39,14.06299305,9.662774086,2.890407324,1.4522084,4.456582069,2.97378611564636,0.807988226413727,3.42884945869446,0.386006265878677,15.9535350799561,17.3708782196045,74.5224304199219,7.3323130607605,0.61967009305954,0,0,
40,14.58862305,9.740602493,2.929552317,1.469358563,4.582090378,3.01518082618713,0.818359673023224,3.43303537368774,0.386804342269897,15.7537832260132,17.4219608306885,74.4667587280273,7.08725261688232,0.621015727519989,0,0,
41,15.11013985,9.823284149,2.968797445,1.485997915,4.708295822,3.05614185333252,0.828482806682587,3.44019985198975,0.388649225234985,15.5517597198486,17.4730930328369,74.4125747680664,6.85631561279297,0.622925758361816,0,0,
42,15.62505531,9.909671783,3.007854939,1.502043724,4.834409237,3.09662318229675,0.838333129882813,3.45020461082459,0.391435861587524,15.3479652404785,17.5243282318115,74.3598709106445,6.63883590698242,0.625358045101166,0,0,
43,16.1385994,10.00003719,3.047042131,1.517658234,4.96156311,3.13660073280334,0.847903311252594,3.46291184425354,0.395071566104889,15.1428661346436,17.5757217407227,74.3086318969727,6.43418407440186,0.628272712230682,0,0,
44,16.64570808,10.09296799,3.085907936,1.532689929,5.088368416,3.17604851722717,0.857189655303955,3.47817778587341,0.399472028017044,14.9368982315063,17.6273212432861,74.2588348388672,6.24175977706909,0.631630182266235,0,0,
45,17.1464653,10.18798637,3.124403954,1.547152638,5.214713573,3.21490097045898,0.866175532341003,3.49583721160889,0.404554843902588,14.7304649353027,17.6791610717773,74.2104644775391,6.06097555160522,0.635387718677521,0,0,
46,17.64350128,10.28517818,3.16268754,1.561133265,5.341149807,3.25312566757202,0.87486070394516,3.51573586463928,0.410248130559921,14.5239410400391,17.7312812805176,74.1635131835938,5.89127779006958,0.639506936073303,0,0,
47,18.13178825,10.38319492,3.200335741,1.574505329,5.466295719,3.29067730903625,0.88324099779129,3.53771042823792,0.416483640670776,14.3176736831665,17.7837066650391,74.1179428100586,5.73213052749634,0.643949210643768,0,0,
48,18.6164875,10.48274517,3.237716436,1.587426186,5.591376305,3.32752060890198,0.891316890716553,3.56160140037537,0.423199474811554,14.111985206604,17.836462020874,74.0737380981445,5.58302211761475,0.648678481578827,0,0,
49,19.09511375,10.58306313,3.274617434,1.599844098,5.715677261,3.36365127563477,0.89909952878952,3.58726477622986,0.43034240603447,13.9071731567383,17.8895683288574,74.030876159668,5.44347333908081,0.653663575649261,0,0,
50,19.56520081,10.68336678,3.310826778,1.611714005,5.838471889,3.39902830123901,0.906586110591888,3.61454105377197,0.437858194112778,13.7035112380981,17.9430389404297,73.9893341064453,5.31301069259644,0.658870697021484,0,0,
51,20.02934647,10.78398991,3.346533537,1.623121619,5.960369587,3.43362402915955,0.913779020309448,3.6432774066925,0.445697665214539,13.5012512207031,17.996883392334,73.9490814208984,5.19118165969849,0.664268672466278,0,0,
52,20.48508644,10.88418961,3.381535769,1.634025693,6.080655098,3.46742153167725,0.920684397220612,3.67332768440247,0.453816205263138,13.3006248474121,18.0511054992676,73.9101104736328,5.07755661010742,0.669829249382019,0,0,
53,20.93499565,10.98437309,3.416023254,1.644506812,6.199950218,3.50041246414185,0.927310168743134,3.70455360412598,0.462173461914063,13.1018438339233,18.1057109832764,73.8723831176758,4.97172355651855,0.67552649974823,0,0,
54,21.37911606,11.08439636,3.449992418,1.654582381,6.318215847,3.53261232376099,0.933671414852142,3.73683500289917,0.470735818147659,12.9051008224487,18.1606998443604,73.8358764648438,4.87329721450806,0.681339621543884,0,0,
55,21.81249237,11.18300629,3.483062267,1.664160013,6.434081078,3.56400227546692,0.93977028131485,3.77003741264343,0.479466736316681,12.7105722427368,18.216064453125,73.8005828857422,4.78189659118652,0.687244057655334,0,0,
56,22.24018478,11.28121567,3.515616894,1.673371196,6.548847198,3.59457230567932,0.945612013339996,3.80403351783752,0.488333165645599,12.5184173583984,18.2718029022217,73.7664566040039,4.69715595245361,0.693217992782593,0,0,
57,22.65973663,11.37836742,3.547467232,1.68217957,6.661817551,3.62433815002441,0.951209902763367,3.83871579170227,0.497308164834976,12.3287792205811,18.3279037475586,73.7334976196289,4.61873531341553,0.699244260787964,0,0,
58,23.0736866,11.47494602,3.578808069,1.690654397,6.773638248,3.65331625938416,0.956575691699982,3.87398266792297,0.506367325782776,12.1417875289917,18.3843612670898,73.7016677856445,4.54630994796753,0.705307483673096,0,0,
59,23.47709465,11.5697155,3.609264374,1.698711872,6.882936954,3.68150687217712,0.961715340614319,3.90972876548767,0.515485525131226,11.957558631897,18.441162109375,73.6709442138672,4.47956132888794,0.711390912532806,0,0,
60,23.87498283,11.66377449,3.639220238,1.706468463,6.991043091,3.70891547203064,0.966636419296265,3.94585633277893,0.524640083312988,11.7761945724487,18.4982929229736,73.6413116455078,4.41818761825562,0.717479646205902,0,0,
61,24.26490021,11.7564764,3.668491602,1.713890433,7.097259998,3.73556733131409,0.971351861953735,3.98228478431702,0.53381335735321,11.597785949707,18.5557403564453,73.6127548217773,4.3619065284729,0.723563194274902,0,0,
62,24.64688683,11.84776402,3.697084188,1.720993638,7.201571941,3.76147055625916,0.975868284702301,4.01892805099487,0.542986512184143,11.4224109649658,18.6134910583496,73.5852508544922,4.3104419708252,0.729629099369049,0,0,
63,25.02097511,11.93759727,3.725005388,1.727792501,7.303961754,3.78663516044617,0.980193197727203,4.0557074546814,0.552142262458801,11.2501392364502,18.6715259552002,73.5587768554688,4.26353073120117,0.735666394233704,0,0,
64,25.38720512,12.02593136,3.752261639,1.734301209,7.404417515,3.81107354164124,0.984334051609039,4.09254837036133,0.561265170574188,11.0810298919678,18.7298278808594,73.5333099365234,4.2209210395813,0.741665184497833,0,0,
65,25.74807358,12.11331844,3.77904129,1.740575314,7.503601551,3.83481550216675,0.988303065299988,4.12939453125,0.570344269275665,10.9151315689087,18.7883834838867,73.5088348388672,4.18238019943237,0.747619569301605,0,0,
66,26.09867668,12.19853306,3.804986,1.746541739,7.60014534,3.85787200927734,0.992106080055237,4.16618156433105,0.579366445541382,10.7524843215942,18.8471736907959,73.4853286743164,4.14767932891846,0.753521263599396,0,0,
67,26.44397545,12.28275108,3.830466509,1.752296448,7.695400238,3.88025498390198,0.995749354362488,4.20285034179688,0.588320016860962,10.5931215286255,18.9061794281006,73.462776184082,4.11659908294678,0.759362876415253,0,0,
68,26.7790699,12.36473179,3.855125904,1.757768393,7.787993431,3.90197801589966,0.999239265918732,4.23934698104858,0.597194254398346,10.4370670318604,18.9653835296631,73.4411544799805,4.08893060684204,0.76513797044754,0,0,
69,27.10891342,12.44566536,3.879331589,1.763048768,7.879279613,3.92305445671082,1.00258219242096,4.27562093734741,0.605979561805725,10.2843379974365,19.0247650146484,73.4204559326172,4.06447505950928,0.770840525627136,0,0,
70,27.43106842,12.52492046,3.902909994,1.768106699,7.968568802,3.94351387023926,1.00578820705414,4.31163692474365,0.61467033624649,10.1349458694458,19.0843086242676,73.4006500244141,4.04304933547974,0.776468336582184,0,0,
71,27.74555588,12.60248852,3.925866365,1.772952318,8.055855751,3.96336650848389,1.00886189937592,4.34735155105591,0.623258292675018,9.98889541625977,19.1439933776855,73.3817367553711,4.02447175979614,0.782016396522522,0,0,
72,28.05485916,12.67894554,3.948385477,1.777631044,8.141815186,3.98263812065125,1.01181161403656,4.38273668289185,0.63173907995224,9.8461856842041,19.2038021087646,73.3636932373047,4.00857639312744,0.787483036518097,0,0,
73,28.35653877,12.753685,3.970293522,1.782113314,8.225761414,4.00135183334351,1.01464462280273,4.41776514053345,0.6401087641716,9.70680999755859,19.2637176513672,73.3464965820313,3.99520444869995,0.792866885662079,0,0,
74,28.6506176,12.82668304,3.991595507,1.786407113,8.307687759,4.01951313018799,1.01736307144165,4.45240211486816,0.648360669612885,9.57075786590576,19.3237190246582,73.3301467895508,3.98419761657715,0.798163533210754,0,0,
75,28.93711472,12.89792824,4.012297153,1.79052031,8.387589455,4.03712797164917,1.01997029781342,4.48661470413208,0.656488835811615,9.43801307678223,19.3837928771973,73.3146057128906,3.97540426254272,0.803369224071503,0,0,
76,29.21605301,12.96741486,4.032405853,1.794459939,8.465463638,4.0542049407959,1.02246975898743,4.52037334442139,0.664487838745117,9.30855655670166,19.4439163208008,73.2998809814453,3.96867966651917,0.808480560779572,0,0,
77,29.48989677,13.03574276,4.052100658,1.79826653,8.541992188,4.07076692581177,1.02486860752106,4.55366134643555,0.672355771064758,9.18236541748047,19.5040721893311,73.2859420776367,3.96389389038086,0.813497602939606,0,0,
78,29.75865364,13.10289955,4.071385384,1.801944971,8.617167473,4.08684778213501,1.0271760225296,4.58647584915161,0.680094122886658,9.05941104888916,19.564245223999,73.2727813720703,3.96092915534973,0.818422973155975,0,0,
79,30.01989937,13.16827011,4.090088844,1.80546701,8.690306664,4.10246133804321,1.02939558029175,4.61880207061768,0.687700927257538,8.93966388702393,19.624418258667,73.260383605957,3.95966649055481,0.823256134986877,0,0,
80,30.27365112,13.23185349,4.108215332,1.808838606,8.761406898,4.11760568618774,1.03152740001678,4.65061569213867,0.695171535015106,8.82308959960938,19.6845741271973,73.2487411499023,3.95998501777649,0.82799369096756,0,0,
81,30.52235985,13.29424572,4.125945091,1.812096834,8.831150055,4.13229560852051,1.03357577323914,4.68190574645996,0.702504694461823,8.70965385437012,19.7446956634521,73.2378387451172,3.96177649497986,0.832635402679443,0,0,
82,30.76360512,13.35483074,4.143106461,1.815214396,8.898848534,4.14654445648193,1.03554451465607,4.71266174316406,0.709699273109436,8.59931755065918,19.8047676086426,73.227653503418,3.96493744850159,0.837181150913239,0,0,
83,30.99983215,13.41421986,4.159876347,1.818226695,8.965185165,4.16036415100098,1.0374368429184,4.74287462234497,0.71675431728363,8.49204063415527,19.8647766113281,73.2181930541992,3.96936941146851,0.841630697250366,0,0,
84,31.2310524,13.47241592,4.176260948,1.821137547,9.030162811,4.17377853393555,1.03925895690918,4.77254724502563,0.723671913146973,8.38778018951416,19.9247035980225,73.2094268798828,3.97498536109924,0.845986783504486,0,0,
85,31.45484352,13.52878284,4.192085743,1.823919892,9.09308815,4.18679428100586,1.04101252555847,4.80167055130005,0.730450987815857,8.28649234771729,19.9845371246338,73.2013473510742,3.98169589042664,0.85024881362915,0,0,
86,31.67608261,13.58456516,4.207701683,1.826637506,9.15533638,4.19943141937256,1.04270219802856,4.83024835586548,0.737093567848206,8.18813228607178,20.044261932373,73.1939544677734,3.98942136764526,0.854419052600861,0,0,
87,31.88747978,13.63790607,4.222595692,1.829203963,9.214848518,4.21169328689575,1.0443286895752,4.85827207565308,0.743598341941834,8.0926513671875,20.1038627624512,73.1872177124023,3.99807977676392,0.8584965467453,0,0,
88,32.09634018,13.6906538,4.237285137,1.831711173,9.273679733,4.22358274459839,1.04589307308197,4.88573455810547,0.74996417760849,8.00000190734863,20.1633281707764,73.1811294555664,4.00759267807007,0.862480580806732,0,0,
89,32.30024719,13.74217892,4.251600266,1.834131956,9.331142426,4.23513078689575,1.04740273952484,4.91265153884888,0.756196260452271,7.91013479232788,20.2226428985596,73.1756896972656,4.01789903640747,0.866376161575317,0,0,
90,32.49677277,13.79188156,4.265375137,1.836440682,9.386552811,4.24633550643921,1.04885685443878,4.93901538848877,0.762292921543121,7.82300043106079,20.2817974090576,73.1708831787109,4.02892684936523,0.870181679725647,0,0,
91,32.68835449,13.84036541,4.278781891,1.838668346,9.440595627,4.2571964263916,1.05025541782379,4.96481847763062,0.768252789974213,7.73854780197144,20.3407745361328,73.1666870117188,4.04060745239258,0.87389600276947,0,0,
92,32.87742615,13.88824081,4.291991234,1.840845227,9.493955612,4.26774024963379,1.05160486698151,4.99007606506348,0.774080753326416,7.65672492980957,20.399564743042,73.1631088256836,4.05288934707642,0.877523839473724,0,0,
93,33.0591507,13.93427753,4.304667473,1.842917204,9.545259476,4.27797555923462,1.05290687084198,5.01479148864746,0.779778122901917,7.57748031616211,20.4581565856934,73.1601257324219,4.06571578979492,0.881066203117371,0,0,
94,33.23595047,13.97909451,4.316981792,1.844914794,9.59519577,4.28789710998535,1.05415999889374,5.03895711898804,0.785343050956726,7.50076150894165,20.5165386199951,73.1577377319336,4.07902669906616,0.884521067142487,0,0,
95,33.41026306,14.02330208,4.3291049,1.846866369,9.644446373,4.29752683639526,1.05536949634552,5.06258726119995,0.790779829025269,7.42651557922363,20.5747013092041,73.1559219360352,4.09277772903442,0.887892603874207,0,0,
96,33.57965469,14.06628323,4.340869427,1.848746419,9.692325592,4.30688333511353,1.05653870105743,5.08569574356079,0.796092510223389,7.35469055175781,20.6326351165771,73.1546783447266,4.1069278717041,0.891184270381927,0,0,
97,33.74173355,14.10743332,4.352110863,1.850530386,9.738153458,4.31595468521118,1.0576651096344,5.10827255249023,0.801278531551361,7.28523302078247,20.6903266906738,73.1539993286133,4.12142181396484,0.89439332485199,0,0,
98,33.90374756,14.1485796,4.363332748,1.852299213,9.783977509,4.3247594833374,1.05875253677368,5.13033151626587,0.806341707706451,7.21809101104736,20.747766494751,73.1538696289063,4.13622331619263,0.897523045539856,0,0,
99,34.05845642,14.18788719,4.374033451,1.853975058,9.827748299,4.33331203460693,1.05980384349823,5.15188407897949,0.811285436153412,7.15321111679077,20.8049488067627,73.1542739868164,4.15129613876343,0.90057635307312,0,0,
100,34.21068573,14.22657967,4.384549618,1.855611444,9.87083149,4.3416109085083,1.06081831455231,5.17293071746826,0.816109716892242,7.09054183959961,20.8618640899658,73.1552124023438,4.16659927368164,0.903552830219269,0,0,
101,34.35562134,14.26343155,4.39454937,1.857158065,9.911862373,4.34965515136719,1.06179594993591,5.19347143173218,0.820814609527588,7.03003072738647,20.9185009002686,73.1566772460938,4.18209362030029,0.906452000141144,0,0,
102,34.50051498,14.30028343,4.40453434,1.858693361,9.952890396,4.35745763778687,1.062739610672,5.21351718902588,0.825403094291687,6.97162628173828,20.974853515625,73.1586532592773,4.19774866104126,0.909276485443115,0,0,
103,34.64052963,14.33590508,4.414171696,1.860166788,9.992548943,4.3650426864624,1.06365394592285,5.23308944702148,0.829881072044373,6.91527605056763,21.030912399292,73.1611328125,4.21354293823242,0.912031292915344,0,0,
104,34.77567673,14.37030697,4.423464298,1.861579657,10.03083801,4.37240266799927,1.06453680992126,5.2521858215332,0.834247648715973,6.8609299659729,21.0866718292236,73.1641082763672,4.22944116592407,0.914715111255646,0,0,
105,34.90595245,14.40347481,4.432412148,1.862932801,10.06775475,4.37953281402588,1.06538724899292,5.27080297470093,0.838501930236816,6.80853700637817,21.1421222686768,73.1675796508789,4.24540948867798,0.917326748371124,0,0,
106,35.03619385,14.43664551,4.441348076,1.864277363,10.10467339,4.38645458221436,1.06620979309082,5.28896141052246,0.842649400234222,6.75804758071899,21.1972599029541,73.1715316772461,4.26143026351929,0.919870734214783,0,0,
107,35.16157532,14.46858025,4.449941158,1.865563989,10.14021683,4.39318561553955,1.06700766086578,5.30667972564697,0.846694886684418,6.70941162109375,21.2520771026611,73.1759567260742,4.27748727798462,0.9223513007164,0,0,
108,35.28210449,14.4992981,4.458193779,1.866793513,10.17439747,4.39971351623535,1.06777787208557,5.32395219802856,0.850636541843414,6.6625804901123,21.306568145752,73.1808471679688,4.29354953765869,0.924766004085541,0,0,
109,35.40019226,14.52939034,4.466270447,1.867991567,10.20788765,4.4060435295105,1.06852126121521,5.34078454971313,0.854475915431976,6.61750650405884,21.360725402832,73.1861877441406,4.30959606170654,0.927115738391876,0,0,
110,35.51583481,14.55886841,4.474173069,1.869158506,10.24069214,4.41219091415405,1.06924104690552,5.35719347000122,0.858217298984528,6.57414197921753,21.4145431518555,73.1919784545898,4.32561206817627,0.929404199123383,0,0,
111,35.62664032,14.58712673,4.481738567,1.870270848,10.27213192,4.41815567016602,1.06993675231934,5.3731837272644,0.861861646175385,6.53243970870972,21.468017578125,73.1982040405273,4.34157800674438,0.931631624698639,0,0,
112,35.73500443,14.61476231,4.489129543,1.87135303,10.30288124,4.42393827438354,1.07060837745667,5.38875818252563,0.865409672260284,6.49235343933105,21.5211429595947,73.2048721313477,4.3574743270874,0.933798134326935,0,0,
113,35.84094238,14.64178467,4.496349812,1.872406006,10.33294868,4.42955160140991,1.07125854492188,5.40393161773682,0.868865191936493,6.45383787155151,21.5739154815674,73.2119674682617,4.37328958511353,0.935906887054443,0,0,
114,35.94444275,14.66818905,4.503397465,1.873429775,10.36232948,4.43500566482544,1.07188892364502,5.41871738433838,0.872231602668762,6.41684865951538,21.6263294219971,73.2194747924805,4.38901329040527,0.93796044588089,0,0,
115,36.04310989,14.693367,4.510109901,1.874401331,10.39034081,4.44029712677002,1.07249820232391,5.4331169128418,0.875508844852448,6.38134145736694,21.6783809661865,73.2273864746094,4.40462732315063,0.939958095550537,0,0,
116,36.13935089,14.71792984,4.516652584,1.875344992,10.41766739,4.44542217254639,1.07308566570282,5.44713068008423,0.878696858882904,6.34727334976196,21.7300682067871,73.2357025146484,4.42011642456055,0.941899299621582,0,0,
117,36.235569,14.74249554,4.523190022,1.876284361,10.44499397,4.45040369033813,1.07365584373474,5.46078157424927,0.881801784038544,6.31460189819336,21.7813835144043,73.2444152832031,4.43547868728638,0.943789422512054,0,0,
118,36.32696152,14.76582813,4.529393196,1.877172828,10.47095203,4.455246925354,1.07420933246613,5.47408008575439,0.884826004505157,6.28328561782837,21.8323268890381,73.2535171508789,4.45070457458496,0.945630133152008,0,0,
119,36.4159317,14.78854084,4.535428047,1.878034234,10.49622345,4.4599437713623,1.07474410533905,5.48702383041382,0.887768626213074,6.25328350067139,21.8828945159912,73.2630004882813,4.46577930450439,0.947419941425323,0,0,
120,36.50247955,14.81064796,4.541295052,1.878869057,10.52081299,4.46450042724609,1.07526135444641,5.4996223449707,0.890631973743439,6.22455596923828,21.9330806732178,73.2728652954102,4.4806957244873,0.949160397052765,0,0,
121,36.58660889,14.83213234,4.546994209,1.879677653,10.54471588,4.46892213821411,1.07576191425323,5.51188373565674,0.89341801404953,6.19706344604492,21.9828853607178,73.2830963134766,4.49544620513916,0.950852870941162,0,0,
122,36.6683197,14.8530035,4.55252409,1.880460024,10.56793499,4.47321271896362,1.07624638080597,5.52381563186646,0.896128475666046,6.17076826095581,22.0323047637939,73.2936859130859,4.51002407073975,0.952498614788055,0,0,
